"alias","pop","parent","dims","method","args"
"nonDebris","nonDebris+","root","FSC-A","flowClust.1d","Neg=1,pos=1"
"lymph","lymph+","nonDebris","FSC-A,SSC-A","flowClust.2d","K=2"
"s","singlet+","lymph","FSC-A,FSC-H","singletGate",
"cd3","cd3-","s","cd3","rangeGate",
"cd19","cd19","cd3","cd19","flowClust.1d",
"cd20","cd20+","cd3","cd20","flowClust.1d",
"cd19&!cd20","cd19&!cd20","cd3",,"boolGate","cd19&!cd20"
"cd19&cd20","cd19&cd20","cd3",,"boolGate","cd19&cd20"
"plasmaB","cd27+cd38+","cd19&!cd20","cd27,cd38","flowClust.1d",
"IgD-cd27+","IgD-cd27+","cd19&cd20","cd27,IgD","flowClust.1d",
"IgD+cd27+","IgD+cd27+","cd19&cd20","cd27,IgD","flowClust.1d",
"IgD+cd27-","IgD+cd27-","cd19&cd20","cd27,IgD","flowClust.1d",
"IgD-cd27-","IgD-cd27-","cd19&cd20","cd27,IgD","flowClust.1d",
"cd38+","cd38+","cd19&cd20","cd38","flowClust.1d",
"transitional","transitional+","cd38+","cd38,cd24","flowClust.2d","K=4,gate_type='axis',which_gate='right'"
